VEHICLE CLASS,variable,valor
TWO-SEATER,ENGINE SIZE,3.2
TWO-SEATER,CYLINDERS,6
TWO-SEATER,FUEL CONSUMPTION,13.9
TWO-SEATER,COEMISSIONS,281
TWO-SEATER,EficienciaEmisiones,20.215827338129497
MINICOMPACT,ENGINE SIZE,3.2
MINICOMPACT,CYLINDERS,6
MINICOMPACT,FUEL CONSUMPTION,13.9
MINICOMPACT,COEMISSIONS,281
MINICOMPACT,EficienciaEmisiones,20.215827338129497
COMPACT,ENGINE SIZE,4.9
COMPACT,CYLINDERS,8
COMPACT,FUEL CONSUMPTION,19.6
COMPACT,COEMISSIONS,375
COMPACT,EficienciaEmisiones,19.132653061224488
SUV,ENGINE SIZE,4.4
SUV,CYLINDERS,8
SUV,FUEL CONSUMPTION,14.9
SUV,COEMISSIONS,294
SUV,EficienciaEmisiones,19.731543624161073
SUBCOMPACT,ENGINE SIZE,2.5
SUBCOMPACT,CYLINDERS,6
SUBCOMPACT,FUEL CONSUMPTION,14
SUBCOMPACT,COEMISSIONS,278
SUBCOMPACT,EficienciaEmisiones,19.857142857142858
SUBCOMPACT,ENGINE SIZE,2.5
SUBCOMPACT,CYLINDERS,6
SUBCOMPACT,FUEL CONSUMPTION,13.4
SUBCOMPACT,COEMISSIONS,267
SUBCOMPACT,EficienciaEmisiones,19.925373134328357
SUBCOMPACT,ENGINE SIZE,2.8
SUBCOMPACT,CYLINDERS,6
SUBCOMPACT,FUEL CONSUMPTION,13.9
SUBCOMPACT,COEMISSIONS,278
SUBCOMPACT,EficienciaEmisiones,20
SUBCOMPACT,ENGINE SIZE,2.8
SUBCOMPACT,CYLINDERS,6
SUBCOMPACT,FUEL CONSUMPTION,13.9
SUBCOMPACT,COEMISSIONS,278
SUBCOMPACT,EficienciaEmisiones,20
TWO-SEATER,ENGINE SIZE,4.9
TWO-SEATER,CYLINDERS,8
TWO-SEATER,FUEL CONSUMPTION,19.3
TWO-SEATER,COEMISSIONS,380
TWO-SEATER,EficienciaEmisiones,19.689119170984455
